column_name,records,output,instruction,input
condition,"['0', 'active', 'active', '1', '1']",None,"You are a PII classification system. Given a column name and records, determine if this column contains a specific type of PII.
Choose ONE category from the following list or respond with 'None' if the column doesn't contain PII:

PII entities list: ['IP_ADDRESS', 'AGE', 'CREDIT_CARD_NUMBER', 'DATE_OF_BIRTH', 'DISABILITY_GROUP', 'EDUCATION_LEVEL', 'EMAIL_ADDRESS', 'ETHNIC_GROUP', 'GENDER', 'GENERIC_ID', 'GEO_COORDINATES', 'ICD9_CODE', 'ICD10_CODE', 'IMEI_HARDWARE_ID', 'MARITAL_STATUS', 'MEDICAL_TERM', 'OCCUPATION', 'ORGANIZATION_NAME', 'PERSON_NAME', 'PHONE_NUMBER', 'PROTECTION_GROUP', 'RELIGIOUS_GROUPS', 'SEXUALITY', 'SPOKEN_LANGUAGE', 'STREET_ADDRESS', 'URL', 'IBAN_CODE', 'PASSPORT', 'SWIFT_CODE', 'ZIPCODE']

Return ONLY the category name or 'None' with no additional text.","Column name: condition
Records: ['0', 'active', 'active', '1', '1']"
longitude,"['3.6858,98.6756', '', '52.37,4.89', '-1.2921,36.8219', '3.6858,98.6756']",GEO_COORDINATES,"You are a PII classification system. Given a column name and records, determine if this column contains a specific type of PII.
Choose ONE category from the following list or respond with 'None' if the column doesn't contain PII:

PII entities list: ['IP_ADDRESS', 'AGE', 'CREDIT_CARD_NUMBER', 'DATE_OF_BIRTH', 'DISABILITY_GROUP', 'EDUCATION_LEVEL', 'EMAIL_ADDRESS', 'ETHNIC_GROUP', 'GENDER', 'GENERIC_ID', 'GEO_COORDINATES', 'ICD9_CODE', 'ICD10_CODE', 'IMEI_HARDWARE_ID', 'MARITAL_STATUS', 'MEDICAL_TERM', 'OCCUPATION', 'ORGANIZATION_NAME', 'PERSON_NAME', 'PHONE_NUMBER', 'PROTECTION_GROUP', 'RELIGIOUS_GROUPS', 'SEXUALITY', 'SPOKEN_LANGUAGE', 'STREET_ADDRESS', 'URL', 'IBAN_CODE', 'PASSPORT', 'SWIFT_CODE', 'ZIPCODE']

Return ONLY the category name or 'None' with no additional text.","Column name: longitude
Records: ['3.6858,98.6756', '', '52.37,4.89', '-1.2921,36.8219', '3.6858,98.6756']"
userid,"['5', 'uid-9982', 'uid-9982', '1', 'uid-9982']",GENERIC_ID,"You are a PII classification system. Given a column name and records, determine if this column contains a specific type of PII.
Choose ONE category from the following list or respond with 'None' if the column doesn't contain PII:

PII entities list: ['IP_ADDRESS', 'AGE', 'CREDIT_CARD_NUMBER', 'DATE_OF_BIRTH', 'DISABILITY_GROUP', 'EDUCATION_LEVEL', 'EMAIL_ADDRESS', 'ETHNIC_GROUP', 'GENDER', 'GENERIC_ID', 'GEO_COORDINATES', 'ICD9_CODE', 'ICD10_CODE', 'IMEI_HARDWARE_ID', 'MARITAL_STATUS', 'MEDICAL_TERM', 'OCCUPATION', 'ORGANIZATION_NAME', 'PERSON_NAME', 'PHONE_NUMBER', 'PROTECTION_GROUP', 'RELIGIOUS_GROUPS', 'SEXUALITY', 'SPOKEN_LANGUAGE', 'STREET_ADDRESS', 'URL', 'IBAN_CODE', 'PASSPORT', 'SWIFT_CODE', 'ZIPCODE']

Return ONLY the category name or 'None' with no additional text.","Column name: userid
Records: ['5', 'uid-9982', 'uid-9982', '1', 'uid-9982']"
alt_id,"['0', 'uid-9982', 'uid-9982', '1', '101']",GENERIC_ID,"You are a PII classification system. Given a column name and records, determine if this column contains a specific type of PII.
Choose ONE category from the following list or respond with 'None' if the column doesn't contain PII:

PII entities list: ['IP_ADDRESS', 'AGE', 'CREDIT_CARD_NUMBER', 'DATE_OF_BIRTH', 'DISABILITY_GROUP', 'EDUCATION_LEVEL', 'EMAIL_ADDRESS', 'ETHNIC_GROUP', 'GENDER', 'GENERIC_ID', 'GEO_COORDINATES', 'ICD9_CODE', 'ICD10_CODE', 'IMEI_HARDWARE_ID', 'MARITAL_STATUS', 'MEDICAL_TERM', 'OCCUPATION', 'ORGANIZATION_NAME', 'PERSON_NAME', 'PHONE_NUMBER', 'PROTECTION_GROUP', 'RELIGIOUS_GROUPS', 'SEXUALITY', 'SPOKEN_LANGUAGE', 'STREET_ADDRESS', 'URL', 'IBAN_CODE', 'PASSPORT', 'SWIFT_CODE', 'ZIPCODE']

Return ONLY the category name or 'None' with no additional text.","Column name: alt_id
Records: ['0', 'uid-9982', 'uid-9982', '1', '101']"
legacy_id,"['1', 'user_001', '0', '67', 'uid-9982']",GENERIC_ID,"You are a PII classification system. Given a column name and records, determine if this column contains a specific type of PII.
Choose ONE category from the following list or respond with 'None' if the column doesn't contain PII:

PII entities list: ['IP_ADDRESS', 'AGE', 'CREDIT_CARD_NUMBER', 'DATE_OF_BIRTH', 'DISABILITY_GROUP', 'EDUCATION_LEVEL', 'EMAIL_ADDRESS', 'ETHNIC_GROUP', 'GENDER', 'GENERIC_ID', 'GEO_COORDINATES', 'ICD9_CODE', 'ICD10_CODE', 'IMEI_HARDWARE_ID', 'MARITAL_STATUS', 'MEDICAL_TERM', 'OCCUPATION', 'ORGANIZATION_NAME', 'PERSON_NAME', 'PHONE_NUMBER', 'PROTECTION_GROUP', 'RELIGIOUS_GROUPS', 'SEXUALITY', 'SPOKEN_LANGUAGE', 'STREET_ADDRESS', 'URL', 'IBAN_CODE', 'PASSPORT', 'SWIFT_CODE', 'ZIPCODE']

Return ONLY the category name or 'None' with no additional text.","Column name: legacy_id
Records: ['1', 'user_001', '0', '67', 'uid-9982']"
hardware_key,"['confirmed', 'confirmed', 'yes', 'active', 'no']",None,"You are a PII classification system. Given a column name and records, determine if this column contains a specific type of PII.
Choose ONE category from the following list or respond with 'None' if the column doesn't contain PII:

PII entities list: ['IP_ADDRESS', 'AGE', 'CREDIT_CARD_NUMBER', 'DATE_OF_BIRTH', 'DISABILITY_GROUP', 'EDUCATION_LEVEL', 'EMAIL_ADDRESS', 'ETHNIC_GROUP', 'GENDER', 'GENERIC_ID', 'GEO_COORDINATES', 'ICD9_CODE', 'ICD10_CODE', 'IMEI_HARDWARE_ID', 'MARITAL_STATUS', 'MEDICAL_TERM', 'OCCUPATION', 'ORGANIZATION_NAME', 'PERSON_NAME', 'PHONE_NUMBER', 'PROTECTION_GROUP', 'RELIGIOUS_GROUPS', 'SEXUALITY', 'SPOKEN_LANGUAGE', 'STREET_ADDRESS', 'URL', 'IBAN_CODE', 'PASSPORT', 'SWIFT_CODE', 'ZIPCODE']

Return ONLY the category name or 'None' with no additional text.","Column name: hardware_key
Records: ['confirmed', 'confirmed', 'yes', 'active', 'no']"
standard_5_years,"['2020-01-02', '2020-01-05', '2020-01-05', '2020-01-05', '2020-01-05']",None,"You are a PII classification system. Given a column name and records, determine if this column contains a specific type of PII.
Choose ONE category from the following list or respond with 'None' if the column doesn't contain PII:

PII entities list: ['IP_ADDRESS', 'AGE', 'CREDIT_CARD_NUMBER', 'DATE_OF_BIRTH', 'DISABILITY_GROUP', 'EDUCATION_LEVEL', 'EMAIL_ADDRESS', 'ETHNIC_GROUP', 'GENDER', 'GENERIC_ID', 'GEO_COORDINATES', 'ICD9_CODE', 'ICD10_CODE', 'IMEI_HARDWARE_ID', 'MARITAL_STATUS', 'MEDICAL_TERM', 'OCCUPATION', 'ORGANIZATION_NAME', 'PERSON_NAME', 'PHONE_NUMBER', 'PROTECTION_GROUP', 'RELIGIOUS_GROUPS', 'SEXUALITY', 'SPOKEN_LANGUAGE', 'STREET_ADDRESS', 'URL', 'IBAN_CODE', 'PASSPORT', 'SWIFT_CODE', 'ZIPCODE']

Return ONLY the category name or 'None' with no additional text.","Column name: standard_5_years
Records: ['2020-01-02', '2020-01-05', '2020-01-05', '2020-01-05', '2020-01-05']"
client_token,"['confirmed', '1', '1', 'active', 'no']",None,"You are a PII classification system. Given a column name and records, determine if this column contains a specific type of PII.
Choose ONE category from the following list or respond with 'None' if the column doesn't contain PII:

PII entities list: ['IP_ADDRESS', 'AGE', 'CREDIT_CARD_NUMBER', 'DATE_OF_BIRTH', 'DISABILITY_GROUP', 'EDUCATION_LEVEL', 'EMAIL_ADDRESS', 'ETHNIC_GROUP', 'GENDER', 'GENERIC_ID', 'GEO_COORDINATES', 'ICD9_CODE', 'ICD10_CODE', 'IMEI_HARDWARE_ID', 'MARITAL_STATUS', 'MEDICAL_TERM', 'OCCUPATION', 'ORGANIZATION_NAME', 'PERSON_NAME', 'PHONE_NUMBER', 'PROTECTION_GROUP', 'RELIGIOUS_GROUPS', 'SEXUALITY', 'SPOKEN_LANGUAGE', 'STREET_ADDRESS', 'URL', 'IBAN_CODE', 'PASSPORT', 'SWIFT_CODE', 'ZIPCODE']

Return ONLY the category name or 'None' with no additional text.","Column name: client_token
Records: ['confirmed', '1', '1', 'active', 'no']"
city,"['Lagos', 'Nairobi', 'Kigali', 'Nairobi', 'Paris']",None,"You are a PII classification system. Given a column name and records, determine if this column contains a specific type of PII.
Choose ONE category from the following list or respond with 'None' if the column doesn't contain PII:

PII entities list: ['IP_ADDRESS', 'AGE', 'CREDIT_CARD_NUMBER', 'DATE_OF_BIRTH', 'DISABILITY_GROUP', 'EDUCATION_LEVEL', 'EMAIL_ADDRESS', 'ETHNIC_GROUP', 'GENDER', 'GENERIC_ID', 'GEO_COORDINATES', 'ICD9_CODE', 'ICD10_CODE', 'IMEI_HARDWARE_ID', 'MARITAL_STATUS', 'MEDICAL_TERM', 'OCCUPATION', 'ORGANIZATION_NAME', 'PERSON_NAME', 'PHONE_NUMBER', 'PROTECTION_GROUP', 'RELIGIOUS_GROUPS', 'SEXUALITY', 'SPOKEN_LANGUAGE', 'STREET_ADDRESS', 'URL', 'IBAN_CODE', 'PASSPORT', 'SWIFT_CODE', 'ZIPCODE']

Return ONLY the category name or 'None' with no additional text.","Column name: city
Records: ['Lagos', 'Nairobi', 'Kigali', 'Nairobi', 'Paris']"
token_id,"['67', 'abc123', '__export__.res_partner_20_88db1e0e', '67', 'uid-9982']",GENERIC_ID,"You are a PII classification system. Given a column name and records, determine if this column contains a specific type of PII.
Choose ONE category from the following list or respond with 'None' if the column doesn't contain PII:

PII entities list: ['IP_ADDRESS', 'AGE', 'CREDIT_CARD_NUMBER', 'DATE_OF_BIRTH', 'DISABILITY_GROUP', 'EDUCATION_LEVEL', 'EMAIL_ADDRESS', 'ETHNIC_GROUP', 'GENDER', 'GENERIC_ID', 'GEO_COORDINATES', 'ICD9_CODE', 'ICD10_CODE', 'IMEI_HARDWARE_ID', 'MARITAL_STATUS', 'MEDICAL_TERM', 'OCCUPATION', 'ORGANIZATION_NAME', 'PERSON_NAME', 'PHONE_NUMBER', 'PROTECTION_GROUP', 'RELIGIOUS_GROUPS', 'SEXUALITY', 'SPOKEN_LANGUAGE', 'STREET_ADDRESS', 'URL', 'IBAN_CODE', 'PASSPORT', 'SWIFT_CODE', 'ZIPCODE']

Return ONLY the category name or 'None' with no additional text.","Column name: token_id
Records: ['67', 'abc123', '__export__.res_partner_20_88db1e0e', '67', 'uid-9982']"
